EVI,NDVI,NDWI,day,month,time,year,timestamp,SAR_VH,SAR_VV
1.0336852794425664,0.3918202946562025,-0.4130697644486152,28,12,1545984186000,2018,2018-12-28 08:03:06.000,-17.785455879396363,-9.431456632874223
0.8784392847087708,0.3326807768336773,-0.3513629781325478,12,1,1547280184000,2019,2019-01-12 08:03:04.000,-17.556020106716844,-8.804129804841084
0.9425075394349466,0.404541665779862,-0.4334153683990205,17,1,1547712188000,2019,2019-01-17 08:03:08.000,-17.75147078525983,-9.571596992816682
0.8912143311630356,0.3615035131260717,-0.3851920152576872,1,2,1549008186000,2019,2019-02-01 08:03:06.000,-17.388989207737723,-9.138376490426351
0.9828944594370772,0.3177213124533244,-0.3398110833906738,6,2,1549440189000,2019,2019-02-06 08:03:09.000,-17.72854961646875,-8.690784091178196
1.010706632585669,0.3701859090800178,-0.3824225274864789,11,2,1549872186000,2019,2019-02-11 08:03:06.000,-17.905063860563185,-9.75126124619562
-0.568981457406202,0.3494706329362015,-0.3473602672245782,16,2,1550304189000,2019,2019-02-16 08:03:09.000,-17.91149698923761,-9.114046502399987
0.8567102858444726,0.3764090871869298,-0.4069906324031282,3,3,1551600184000,2019,2019-03-03 08:03:04.000,-17.686665894972347,-8.87862932947718
0.941224643925852,0.3520210512621621,-0.3825735906626368,8,3,1552032186000,2019,2019-03-08 08:03:06.000,-17.726916317003173,-9.844581898693507
0.813715801197014,0.2993853673930016,-0.3318761757612224,13,3,1552464185130,2019,2019-03-13 08:03:05.130,-17.625151204241703,-8.936469233069259
0.9287679244486852,0.3646325636522274,-0.3943779050403621,18,3,1552896187000,2019,2019-03-18 08:03:07.000,-17.538889384374087,-9.715961701874773
0.7716701349842279,0.3030879671742203,-0.3294204212129866,28,3,1553760190000,2019,2019-03-28 08:03:10.000,-17.40287522512837,-9.00548629542582
0.8002465339251966,0.3440018019486502,-0.37868595280137,2,4,1554192189000,2019,2019-04-02 08:03:09.000,-17.78707384625729,-9.654336215814311
0.994565737302436,0.3430296896415629,-0.358792170044439,12,4,1555056191000,2019,2019-04-12 08:03:11.000,-17.437228295423793,-9.546872749497334
0.9051982974488592,0.2743908939765907,-0.2998429067553151,17,4,1555488195000,2019,2019-04-17 08:03:15.000,-17.77393459442996,-9.018701577167517
0.8111378955555639,0.2873351643851299,-0.3207950627230863,22,4,1555920192000,2019,2019-04-22 08:03:12.000,-17.77393459442996,-9.018701577167517
0.7849656644923578,0.2082576614276314,-0.2395874838119044,27,4,1556352196000,2019,2019-04-27 08:03:16.000,-17.590386123477572,-9.416086381626716
0.8088941016790067,0.273759165511546,-0.3026983634336159,2,5,1556784193000,2019,2019-05-02 08:03:13.000,-17.271516883436085,-8.654997201311078
0.8790524513151708,0.2707080008546893,-0.2998668063366514,7,5,1557216197494,2019,2019-05-07 08:03:17.494,-17.57834810437549,-9.171446148541373
1.0181998644497878,0.2645227151583342,-0.2772636058449499,12,5,1557648193000,2019,2019-05-12 08:03:13.000,-17.337622642460385,-8.776963069001868
0.9879499699593374,0.2865945812939615,-0.3074568748902766,17,5,1558080197000,2019,2019-05-17 08:03:17.000,-17.382843146861777,-9.124344059041468
0.8980672581333053,0.298778688667583,-0.3292030353226589,27,5,1558944197000,2019,2019-05-27 08:03:17.000,-17.41886480026497,-8.491520910369104
0.7953188998914046,0.2587532177664278,-0.2941266539683859,1,6,1559376191000,2019,2019-06-01 08:03:11.000,-17.145954937431892,-9.069218058390666
0.94097220755122,0.2917525156296184,-0.3218515058919344,6,6,1559808197000,2019,2019-06-06 08:03:17.000,-16.94547441710917,-8.526082080601281
0.8860141690065498,0.2559802100788169,-0.280134616520673,11,6,1560240192000,2019,2019-06-11 08:03:12.000,-17.37854159840468,-8.863714466769903
-0.0871486128956612,0.0200136686793862,-0.0039572422328032,16,6,1560672196807,2019,2019-06-16 08:03:16.807,-17.234435570589355,-8.248977930252277
0.7731004252237781,0.2988244426156609,-0.3346061366564006,21,6,1561104193000,2019,2019-06-21 08:03:13.000,-17.234435570589355,-8.248977930252277
0.8717924583050201,0.2765374318986362,-0.3119609699324776,26,6,1561536197000,2019,2019-06-26 08:03:17.000,-17.08628707225769,-8.979422472735438
0.7761641624086808,0.3115392247493455,-0.3476900992317981,1,7,1561968194070,2019,2019-07-01 08:03:14.070,-16.858779597216053,-8.608409995896356
0.8100046577239215,0.2235751756147186,-0.249832330692316,6,7,1562400198000,2019,2019-07-06 08:03:18.000,-16.968147874486775,-8.900688615391797
0.7841097933731555,0.3101388230329177,-0.345303003151618,11,7,1562832194000,2019,2019-07-11 08:03:14.000,-17.168740295105447,-8.687425495591592
0.8447068879075583,0.3210363016621254,-0.3566940746626,16,7,1563264198071,2019,2019-07-16 08:03:18.071,-17.2210457782695,-9.190938298613407
0.9429066143360312,0.2674471274064809,-0.2937247733569987,26,7,1564128197645,2019,2019-07-26 08:03:17.645,-16.896807633546263,-8.487323216599975
0.7806438638116213,0.3072977569677094,-0.3437790400985154,10,8,1565424193106,2019,2019-08-10 08:03:13.106,-17.11785384516771,-9.287350136119851
0.8101701854957141,0.2888560724636786,-0.3239456757592783,15,8,1565856195637,2019,2019-08-15 08:03:15.637,-17.098079471516844,-8.781812646579858
0.7632795586529709,0.263492392913458,-0.2980471751559604,20,8,1566288191855,2019,2019-08-20 08:03:11.855,-17.098079471516844,-8.781812646579858
